ds,producto,y
2025-04-12,Atún,15.000
2025-04-10,Salmón,28.000
2025-04-10,Merluza,29.000
2025-04-09,Salmón,13.000
2025-04-11,Atún,17.000
2025-04-13,Atún,15.000
2025-04-08,Atún,29.000
2025-04-07,Atún,17.000
2025-04-09,Atún,17.000
2025-04-08,Salmón,29.000
2025-04-13,Salmón,30.000
2025-04-12,Salmón,23.000
2025-04-09,Merluza,31.000
2025-04-13,Merluza,18.000
2025-04-12,Merluza,22.000
2025-04-10,Atún,30.000
2025-04-04,Merluza,23.000
2025-04-11,Salmón,22.000
2025-04-04,Atún,21.000
2025-04-07,Merluza,16.000
2025-04-06,Merluza,31.000
2025-04-05,Salmón,33.000
2025-04-11,Merluza,17.000
2025-04-05,Atún,38.000
2025-04-08,Merluza,11.000
2025-04-01,Salmón,11.000
2025-04-03,Merluza,20.000
2025-04-06,Atún,20.000
2025-03-31,Merluza,29.000
2025-04-07,Salmón,31.000
2025-04-01,Merluza,26.000
2025-04-03,Salmón,29.000
2025-04-02,Salmón,30.000
2025-04-03,Atún,16.000
2025-03-31,Atún,14.000
2025-04-01,Atún,24.000
2025-04-06,Salmón,21.000
2025-04-02,Atún,12.000
2025-04-05,Merluza,17.000
2025-04-04,Salmón,25.000
2025-03-31,Salmón,22.000
2025-03-28,Merluza,12.000
2025-04-02,Merluza,17.000
2025-03-24,Atún,13.000
2025-03-27,Salmón,19.000
2025-03-25,Merluza,27.000
2025-03-26,Atún,16.000
2025-03-26,Salmón,19.000
2025-03-28,Atún,18.000
2025-03-29,Merluza,24.000
2025-03-23,Merluza,29.000
2025-03-24,Merluza,18.000
2025-03-21,Atún,12.000
2025-03-29,Atún,23.000
2025-03-30,Merluza,27.000
2025-03-30,Atún,17.000
2025-03-30,Salmón,18.000
2025-03-27,Atún,14.000
2025-03-26,Merluza,12.000
2025-03-29,Salmón,19.000
2025-03-20,Atún,20.000
2025-03-22,Merluza,30.000
2025-03-25,Atún,13.000
2025-03-24,Salmón,20.000
2025-03-27,Merluza,12.000
2025-03-21,Salmón,18.000
2025-03-28,Salmón,24.000
2025-03-19,Atún,19.000
2025-03-18,Atún,12.000
2025-03-19,Salmón,14.000
2025-03-19,Merluza,23.000
2025-03-25,Salmón,23.000
2025-03-17,Merluza,23.000
2025-03-20,Merluza,25.000
2025-03-22,Atún,35.000
2025-03-22,Salmón,24.000
2025-03-18,Merluza,17.000
2025-03-23,Salmón,35.000
2025-03-23,Atún,26.000
2025-03-15,Salmón,18.000
2025-03-16,Merluza,30.000
2025-03-13,Merluza,27.000
2025-03-21,Merluza,11.000
2025-03-13,Atún,24.000
2025-03-15,Merluza,26.000
2025-03-17,Salmón,24.000
2025-03-16,Atún,23.000
2025-03-20,Salmón,15.000
2025-03-18,Salmón,17.000
2025-03-14,Merluza,13.000
2025-03-13,Salmón,21.000
2025-03-11,Atún,25.000
2025-03-17,Atún,19.000
2025-03-11,Salmón,20.000
2025-03-12,Merluza,15.000
2025-03-16,Salmón,21.000
2025-03-10,Atún,28.000
2025-03-11,Merluza,14.000
2025-03-14,Salmón,25.000
2025-03-14,Atún,29.000
2025-03-15,Atún,34.000
2025-03-09,Merluza,27.000
2025-03-08,Salmón,29.000
2025-03-06,Salmón,29.000
2025-03-06,Merluza,15.000
2025-03-12,Salmón,25.000
2025-03-08,Atún,25.000
2025-03-07,Salmón,28.000
2025-03-08,Merluza,20.000
2025-03-09,Atún,18.000
2025-03-10,Salmón,21.000
2025-03-03,Atún,20.000
2025-03-12,Atún,15.000
2025-03-07,Merluza,16.000
2025-03-09,Salmón,37.000
2025-03-02,Salmón,25.000
2025-03-10,Merluza,27.000
2025-03-03,Merluza,18.000
2025-03-01,Salmón,27.000
2025-03-01,Merluza,15.000
2025-03-04,Salmón,29.000
2025-03-07,Atún,20.000
2025-03-05,Merluza,11.000
2025-03-06,Atún,25.000
2025-03-02,Merluza,32.000
2025-03-04,Atún,24.000
2025-03-05,Atún,14.000
2025-02-27,Merluza,11.000
2025-03-02,Atún,25.000
2025-03-05,Salmón,22.000
2025-02-25,Merluza,21.000
2025-02-24,Atún,11.000
2025-03-04,Merluza,28.000
2025-03-03,Salmón,30.000
2025-03-01,Atún,27.000
2025-02-28,Atún,13.000
2025-02-22,Salmón,16.000
2025-02-24,Merluza,30.000
2025-02-22,Atún,18.000
2025-02-27,Salmón,27.000
2025-02-26,Merluza,27.000
2025-02-28,Merluza,20.000
2025-02-26,Salmón,23.000
2025-02-28,Salmón,10.000
2025-02-23,Salmón,31.000
2025-02-27,Atún,13.000
2025-02-23,Merluza,31.000
2025-02-26,Atún,10.000
2025-02-24,Salmón,14.000
2025-02-18,Atún,13.000
2025-02-19,Merluza,18.000
2025-02-23,Atún,21.000
2025-02-18,Salmón,24.000
2025-02-20,Atún,13.000
2025-02-18,Merluza,12.000
2025-02-25,Salmón,24.000
2025-02-25,Atún,23.000
2025-02-17,Atún,29.000
2025-02-21,Merluza,10.000
2025-02-16,Merluza,20.000
2025-02-20,Salmón,29.000
2025-02-20,Merluza,24.000
2025-02-19,Salmón,13.000
2025-02-21,Atún,19.000
2025-02-22,Merluza,28.000
2025-02-21,Salmón,24.000
2025-02-14,Salmón,13.000
2025-02-17,Salmón,21.000
2025-02-15,Atún,22.000
2025-02-19,Atún,13.000
2025-02-12,Merluza,14.000
2025-02-17,Merluza,26.000
2025-02-12,Atún,15.000
2025-02-13,Atún,29.000
2025-02-14,Atún,23.000
2025-02-15,Merluza,38.000
