ds,producto,y
2022-01-01,Producto A,80
2022-01-02,Producto A,80
2022-01-03,Producto A,70
2022-01-04,Producto A,70
2022-01-05,Producto A,70
2022-01-06,Producto A,70
2022-01-07,Producto A,70
2022-01-08,Producto A,80
2022-01-09,Producto A,80
2022-01-10,Producto A,70
2022-01-11,Producto A,71
2022-01-12,Producto A,71
2022-01-13,Producto A,71
2022-01-14,Producto A,71
2022-01-15,Producto A,81
2022-01-16,Producto A,81
2022-01-17,Producto A,71
2022-01-18,Producto A,71
2022-01-19,Producto A,71
2022-01-20,Producto A,71
2022-01-21,Producto A,72
2022-01-22,Producto A,82
2022-01-23,Producto A,82
2022-01-24,Producto A,72
2022-01-25,Producto A,72
2022-01-26,Producto A,72
2022-01-27,Producto A,72
2022-01-28,Producto A,72
2022-01-29,Producto A,82
2022-01-30,Producto A,82
2022-01-31,Producto A,73
2022-02-01,Producto A,73
2022-02-02,Producto A,73
2022-02-03,Producto A,73
2022-02-04,Producto A,73
2022-02-05,Producto A,83
2022-02-06,Producto A,83
2022-02-07,Producto A,73
2022-02-08,Producto A,73
2022-02-09,Producto A,73
2022-02-10,Producto A,74
2022-02-11,Producto A,74
2022-02-12,Producto A,84
2022-02-13,Producto A,84
2022-02-14,Producto A,74
2022-02-15,Producto A,74
2022-02-16,Producto A,74
2022-02-17,Producto A,74
2022-02-18,Producto A,74
2022-02-19,Producto A,84
2022-02-20,Producto A,85
2022-02-21,Producto A,75
2022-02-22,Producto A,75
2022-02-23,Producto A,75
2022-02-24,Producto A,75
2022-02-25,Producto A,75
2022-02-26,Producto A,85
2022-02-27,Producto A,85
2022-02-28,Producto A,75
2022-03-01,Producto A,75
2022-03-02,Producto A,76
2022-03-03,Producto A,76
2022-03-04,Producto A,76
2022-03-05,Producto A,86
2022-03-06,Producto A,86
2022-03-07,Producto A,76
2022-03-08,Producto A,76
2022-03-09,Producto A,76
2022-03-10,Producto A,76
2022-03-11,Producto A,76
2022-03-12,Producto A,87
2022-03-13,Producto A,87
2022-03-14,Producto A,77
2022-03-15,Producto A,77
2022-03-16,Producto A,77
2022-03-17,Producto A,77
2022-03-18,Producto A,77
2022-03-19,Producto A,87
2022-03-20,Producto A,87
2022-03-21,Producto A,77
2022-03-22,Producto A,78
2022-03-23,Producto A,78
2022-03-24,Producto A,78
2022-03-25,Producto A,78
2022-03-26,Producto A,88
2022-03-27,Producto A,88
2022-03-28,Producto A,78
2022-03-29,Producto A,78
2022-03-30,Producto A,78
2022-03-31,Producto A,78
2022-04-01,Producto A,79
2022-04-02,Producto A,89
2022-04-03,Producto A,89
2022-04-04,Producto A,79
2022-04-05,Producto A,79
2022-04-06,Producto A,79
2022-04-07,Producto A,79
2022-04-08,Producto A,79
2022-04-09,Producto A,89
2022-04-10,Producto A,89
2022-04-11,Producto A,80
2022-04-12,Producto A,80
2022-04-13,Producto A,80
2022-04-14,Producto A,80
2022-04-15,Producto A,80
2022-04-16,Producto A,90
2022-04-17,Producto A,90
2022-04-18,Producto A,80
2022-04-19,Producto A,80
2022-04-20,Producto A,80
2022-04-21,Producto A,81
2022-04-22,Producto A,81
2022-04-23,Producto A,91
2022-04-24,Producto A,91
2022-04-25,Producto A,81
2022-04-26,Producto A,81
2022-04-27,Producto A,81
2022-04-28,Producto A,81
2022-04-29,Producto A,81
2022-04-30,Producto A,91
2022-05-01,Producto A,92
2022-05-02,Producto A,82
2022-05-03,Producto A,82
2022-05-04,Producto A,82
2022-05-05,Producto A,82
2022-05-06,Producto A,82
2022-05-07,Producto A,92
2022-05-08,Producto A,92
2022-05-09,Producto A,82
2022-05-10,Producto A,82
2022-05-11,Producto A,83
2022-05-12,Producto A,83
2022-05-13,Producto A,83
2022-05-14,Producto A,93
2022-05-15,Producto A,93
2022-05-16,Producto A,83
2022-05-17,Producto A,83
2022-05-18,Producto A,83
2022-05-19,Producto A,83
2022-05-20,Producto A,83
2022-05-21,Producto A,94
2022-05-22,Producto A,94
2022-05-23,Producto A,84
2022-05-24,Producto A,84
2022-05-25,Producto A,84
2022-05-26,Producto A,84
2022-05-27,Producto A,84
2022-05-28,Producto A,94
2022-05-29,Producto A,94
